N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
1	ab00001	GCA_000015425.1_ASM1542v1	ATCC 17978	ATCC:17978																		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA17477	https://www.ncbi.nlm.nih.gov/pubmed/?term=17344419	3976747	YES			38.9209077895646	4001456	3	USA				USA	2006	3949					Others		A. baumannii	A. baumannii	group1		3
2	ab00002	GCA_000018445.1_ASM1844v1	ACICU																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA17827	https://www.ncbi.nlm.nih.gov/pubmed/?term=18411315	3904116	YES			38.9328919681036	3996690	3	Italy	Rome			Italy: Rome	2008	3780					Others		A. baumannii	A. baumannii	group2		0
3	ab00003	GCA_000021145.1_ASM2114v1	AB307-0294																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA30993	https://www.ncbi.nlm.nih.gov/pubmed/?term=18931120	3760981	YES			39.0436963122122	3760981	1	USA	Buffalo 	New York		USA: Buffalo, New York	2008	3464					Others		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	5
4	ab00004	GCA_000021245.2_ASM2124v2	AB0057																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA21111	https://www.ncbi.nlm.nih.gov/pubmed/?term=18931120	4055148	YES	25	454; Sanger; illumina	39.19193952379	4063879	2	USA	Washington	District of Columbia	Walter Reed Army Medical Center	USA: Walter Reed Army Medical Center, Washington, District of Columbia	2008	3824					Others	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	6
5	ab00005	GCA_000069205.1_ASM6920v1	SDF	ERS610212																		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA13001	https://www.ncbi.nlm.nih.gov/pubmed/?term=18350144	3421954	YES			39.1193123658672	3477896	4	France				France	2008	3542					Others		low_n_genes	low_n_genes			
6	ab00006	GCA_000069245.1_ASM6924v1	AYE	ERS610214																		https://www.ncbi.nlm.nih.gov/bioproject/PRJNA28921	https://www.ncbi.nlm.nih.gov/pubmed/?term=18350144	3936291	YES			39.3159097841672	4048735	5	France				France	2008	3791					Others		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	5
7	ab00007	GCA_000162295.1_ASM16229v1	ATCC 19606	ATCC:19606				bacteria_archaea							Homo sapiens			urogenital_tract				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA38509		659	NO			39.0697741808307	3934077	22					COLLECT_DATE real es 1900/1948 (<1949)		3722		Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;cas3(cas2_3);cas3(cas2_3)	5
8	ab00008	GCA_000163355.2_ASM16335v2	6013150	NCTC 13486											Homo sapiens			skin				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA33071		1200	NO		Illumina	38.8549573902754	3987118	202							3763	several	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		no_16S	no_16S			
9	ab00009	GCA_000163375.2_ASM16337v2	6013113	NCTC 13487											Homo sapiens			skin				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA33017		1061	NO		Illumina	38.8716920587373	3993307	118							3781	several	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		no_16S	no_16S			
10	ab00010	GCA_000163395.2_ASM16339v2	6014059	NCTC 13485											Homo sapiens			skin				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA33073		8307	NO		Illumina	39.0027225085485	3874368	143							3666	several	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		no_16S	no_16S			
