	NZ_CP040048.1	CP040042.1	CP026129.1	NZ_CP039519.1	CP027185.1	NZ_CP036285.1	CU459140.1	NZ_CP039931.1	NZ_CP039932.1	KX118105.1	CP013925.1	CP012956.1	CP010399.1	CM009083.3	CP000864.1	AFDB02000003.1	NZ_CP015485.1	NC_021728.1	NZ_CP015365.1	CP000522.1	CM009046.2	CM009652.1	CP018334.1	CP031745.1	CP039933.1	NC_010402.1	CP010400.1	NZ_CP012955.1	KY704308.1	AFDA02000008.1	CM009045.2	NZ_CP007713.1	AFDA02000011.1	CM009039.2	CM009649.1	CM009050.2	NZ_CP040052.1	NC_010401.1	CP039521.1	NZ_CP023023.1	NZ_CP026340.1	NZ_CP012953.1	NZ_CP021785.1	CM003742.1	NZ_CP021783.1	MK386684.1	CP008709.1	NZ_CP020583.1
ab00003																																																
ab00004																																																
ab00006							1																			1												1							1			
ab00007																																																
ab00011																																																
ab00017									1																																							
ab00020																																																
ab00026																																																
ab00028																														1			1				1											
ab00037																																															1	
ab00038																																																
ab00045																																														1		
ab00049																																																
ab00050																																																
ab00054																																																
ab00061																																																
ab00063																																																
ab00068									1																																							
ab00072																																																
ab00073																																																
ab00085																																																
ab00086																																																
ab00091																																																
ab00092																																																
ab00094																																			1													
ab00098																																																
ab00099																																																
ab00104																																																
ab00107																						1																									1	
ab00122																																																
ab00127																																																
ab00128																																																
ab00135																																																
ab00141																																																
ab00143																																																
ab00144																																		1											1			
ab00151																																		1											1			
ab00152																																													1			
ab00153																																													1			
ab00154																																		1											1			
ab00166																																																
ab00167																																																
ab00169																																																
ab00170																																																
ab00172																																																
ab00173																																																
ab00174																																																
ab00176																																																
ab00177																																																
ab00180																																																
ab00183																																																
ab00189																																																
ab00191																																																
ab00193																																													1			
ab00196																																													1			
ab00201																						1																							1			
ab00214																																																
ab00215																																																
ab00216																																																
ab00221																																																
ab00222																						1																			1							
ab00227																																																
ab00235																																																
ab00241																																													1			
ab00243																																																
ab00244																																																
ab00272																																									1							
ab00293																																									1							
ab00295																																									1							
ab00298																									1																1							
ab00299																														1			1													1		
ab00302																														1			1													1		
ab00330																																																
ab00339																																																
ab00341																																																
ab00345																																																
ab00346																																																
ab00350																																																
ab00354																																																
ab00355																																																
ab00378																																																
ab00381																																																
ab00383																																																
ab00398																																																
ab00408																																																
ab00433																																																
ab00438																																																
ab00457																																		1														
ab00458																	1																	1											1			
ab00489																																																
ab00492																																																
ab00617																																																
ab00621																																																
ab00631																																																
ab00650																																																
ab00651																																1																
ab00730																																																
ab00732																																																
ab00756																																			1		1											
ab00758																																																
ab00763																																																
ab00767																																																
ab00769																																																
ab00770																																																
ab00774																																																
ab00781																																																
ab00782																																																
ab00785																																1																
ab00790																																																
ab00795																																																
ab00798																																																
ab00815																																																
ab00816																																																
ab00820																																																
ab00829						1																																										
ab00837																																																
ab00889																																									1							
ab00890																																									1							
ab00892																									1																1							
ab00985																						1																										
ab00998																																																
ab01000																																																
ab01001																																																
ab01003																																																
ab01004																																																
ab01006																																																
ab01030																																															1	
ab01040																																																
ab01042																																																
ab01043																																																
ab01044																																																
ab01046																																																
ab01047																																																
ab01048																																																
ab01049																																																
ab01050																																																
ab01051																																																
ab01052		1																																														
ab01053																																														1		
ab01057																																																
ab01058																																																
ab01059																																													1			
ab01060																																																
ab01061																																					1											
ab01062																						1															1											
ab01074																																																
ab01076																																																
ab01077																																																
ab01079																																																
ab01081																																																
ab01082																																																
ab01083												1																1														1						
ab01089																																																
ab01097																																									1							
ab01142																																																
ab01159																																																
ab01178																																																
ab01180																																																
ab01181																																																
ab01182		1																																														
ab01222																																																
ab01226																																																
ab01227																																																
ab01228																																																
ab01229																																																
ab01230																																																
ab01231																																																
ab01232																																																
ab01233																																																
ab01234																																																
ab01235																																					1											
ab01236																																																
ab01237																																																
ab01239																																			1		1											
ab01244																																																
ab01245																																																
ab01248																								1																								
ab01249																																																
ab01250																																																
ab01251																						1																										
ab01252																																																
ab01253		1				1		1																1																								
ab01254																																																
ab01255																						1																										
ab01256																																																
ab01257																																														1		
ab01258																																																
ab01259																																																
ab01260																																																
ab01261																																																
ab01263																																																
ab01264																																																
ab01265																																																
ab01266																																																
ab01267																																																
ab01268																																																
ab01270																																																
ab01271																																																
ab01273																																																
ab01275																																																
ab01294																																																
ab01295																																												1				
ab01301																																																
ab01302																																														1		
ab01313																																					1								1			
ab01319																																															1	
ab01320																																															1	
ab01327																																																
ab01328																																																
ab01329																																		1	1										1			
ab01339																			1																													
ab01342																																																
ab01346																																																
ab01348																																																
ab01350																																																
ab01351																																																
ab01352																																																
ab01354																																																
ab01355																																																
ab01357																																																
ab01359																																																
ab01361										1																																						
ab01567																																																
ab01574																																									1							
ab01575																																																
ab01577																																																
ab01578																																																
ab01631																																																
ab01632																																																
ab01643		1																																														
ab01650		1																																														
ab01670																																																
ab01673																																																
ab01674		1																																														
ab01717																																																
ab01721																																																
ab01756		1															1																															
ab01757																																																
ab01765																																																
ab01771																																									1							
ab01775																																																
ab01777																																																
ab01780																																																
ab01785																																1																
ab01805																																																
